Mw,log(Rrup),log(focal_depth),log(VS30),focal_depth
3.6,5.338595213046607,5.332670482919699,6.635946555686646,206.99
3.6,5.338595213046607,5.332670482919699,6.635946555686646,206.99
3.6,6.64917883166901,6.648751362216851,6.288601778330518,771.82
3.6,6.64917883166901,6.648751362216851,6.288601778330518,771.82
2.8,5.81672418033434,5.816634856072323,7.600902459542082,335.84
2.8,5.81672418033434,5.816634856072323,7.600902459542082,335.84
2.8,5.257443287338064,5.257078618531439,7.600902459542082,191.92
2.8,5.257443287338064,5.257078618531439,7.600902459542082,191.92
2.8,4.950956058594655,4.950318958088201,7.600902459542082,141.22
2.8,5.759910728433802,5.7598161821769756,7.315218389752975,317.29
3.05,5.750697866665008,5.750634253433434,6.970354420738657,314.39
2.57,5.646647589951205,5.642403401646356,6.214608098422191,282.14
3.46,6.210158212348561,6.209575455894117,7.600902459542082,497.49
3.46,6.450675772306413,6.450312431781259,6.466455717864757,632.9
3.46,5.726912892045055,5.7254134947824955,7.600902459542082,306.56
3.46,6.261930519316589,6.261396259920951,7.26192709270275,523.95
3.46,6.296243383424822,6.29574559121513,7.315218389752975,542.26
3.46,6.747668683078811,6.747469149048794,7.600902459542082,851.9
3.46,6.718058592655948,6.7178530614477285,7.036148493750535,827.04
3.46,6.398312032625397,6.3978958549614715,6.450628387550081,600.58
4.62,6.332337799322969,6.332142214211706,5.697429000684026,562.36
4.62,6.461468176353717,6.461280658773394,6.139453424821431,639.88
4.62,6.266441247062209,6.266232338041327,5.585374243605899,526.49
4.68,6.563460526103777,6.56343230581621,6.360265670844555,708.7
4.68,7.244327510603683,7.2443203684352495,6.260537030310592,1400.13
4.68,6.035720638362519,6.035648882619039,7.161311636704542,418.07
4.68,5.717521000766714,5.717422360360236,5.41610040220442,304.12
4.68,6.289492911613907,6.2894743544345975,6.163314804034641,538.87
4.68,6.03772771157762,6.037679970904945,5.7430031878094825,418.92
4.68,6.408775877499828,6.408759406969724,6.285998094508864,607.14
4.68,6.558495630797537,6.558495630797537,6.278896588304553,705.21
4.68,6.6278958629474936,6.6278958629474936,6.243972707052095,755.89
4.68,6.11168904441435,6.11166687613494,5.923988381983068,451.09
4.68,6.302325892507168,6.302307571952421,6.013470627370596,545.83
4.68,6.4503914300828376,6.450375630921772,5.943848693166318,632.94
4.68,6.617269279197622,6.617269279197622,5.457029057702857,747.9
4.68,6.96447581919164,6.96447581919164,6.205163639594192,1058.36
4.68,7.300938607187392,7.300931858114546,6.141607205537701,1481.68
4.68,7.2391144662165265,7.239107286718301,6.416732282512326,1392.85
4.68,7.274437977867817,7.27443104754871,6.383168739966109,1442.93
4.68,7.189718530102957,7.1897109870604705,6.303534307616593,1325.72
4.68,7.18487931096266,7.184871731329135,5.703782474656201,1319.32
4.68,7.194594496331329,7.194586989979079,6.2501682738207425,1332.2
4.68,7.074912435256319,7.074903974554165,6.206575926724927,1181.93
4.68,7.100546833559206,7.100538586986687,5.713732805509369,1212.62
4.68,7.218895055497066,7.218887729355561,5.998936561946683,1364.97
4.68,6.989049510864743,6.98904029159832,5.946467181177246,1084.68
4.68,7.113304961895299,7.1132968198657345,6.446513155404974,1228.19
4.68,6.888521489866838,6.888511295615376,6.221583712158616,980.94
4.68,6.989501150832417,6.989501150832417,6.269285659712887,1085.18
4.68,6.8024280961021,6.802416985299622,6.216007119335899,900.02
4.68,6.860747525374795,6.860737044018508,6.436310611939997,954.07
4.68,6.906974974623861,6.906964966767693,6.134265345739653,999.21
4.68,6.776769215685338,6.776757816101423,6.227326870829966,877.22
4.68,6.906704727345958,6.906694716784815,5.647564794657972,998.94
4.68,6.5481904490567295,6.548176121896015,6.967720860149571,697.97
4.68,6.818607075148749,6.818596142662319,6.037393478996382,914.7
4.68,6.448240449450574,6.448208782836682,6.6698787280658625,631.57
4.68,6.767952835786831,6.767941335254931,5.9293231505701325,869.52
4.68,6.340130000543843,6.3401123596593285,6.251325681357354,566.86
4.68,6.658947705912412,6.658934880877944,6.147185422104758,779.72
4.68,6.205284770961307,6.205244395469226,6.2482362794021755,495.34
4.68,6.619272886359587,6.619259542262014,6.251903883165888,749.39
4.68,6.053335450815944,6.053288449499899,6.1812581187406375,425.51
4.68,6.4043520410317845,6.4043189536480005,6.135131896920395,604.45
4.68,5.8173789812387415,5.817289715449796,6.414933279655721,336.06
4.68,6.341135016893832,6.341099770255475,6.09852361940139,567.42
4.68,5.5583712718823435,5.558217057987366,6.312460498589696,259.36
4.68,5.570212986067941,5.5700605876983085,6.259007685718876,262.45
4.68,6.531955763529722,6.531941201872023,6.381138969309822,686.73
4.68,5.414766179191283,5.414543635516169,6.3298991427569264,224.65
4.68,5.798395441767263,5.798365117142149,6.334344780024525,329.76
4.68,6.018155162361026,6.018130820503985,6.165627916200473,410.81
4.68,6.460405111500452,6.460405111500452,6.285998094508864,639.32
4.68,5.199711762793914,5.199546204448016,7.166574806748817,181.19
