i,r2,mse,mae
80,0.792545826984206,2.223841341504627,1.1386904032947116
81,0.774334323075195,2.373690554950875,1.159576934777526
82,0.7939993241264967,2.260392180994247,1.1412882927061647
83,0.782988537993173,2.368610147957608,1.179232767027936
84,0.8032078136145809,2.1237561966743064,1.1167651988981073
85,0.8017363215451776,2.344409826887075,1.146196853067559
86,0.79616476377353,2.2852781247282286,1.1360317653362966
87,0.806339701818126,2.1889438796913105,1.1225784831172188
88,0.7926648507251881,2.354503444586987,1.150352785584509
89,0.8134630198313353,2.2641920958305777,1.1402227971406724
90,0.8048453930171955,2.2526492026733362,1.1361391311725861
91,0.7885024313641407,2.2811827480727,1.1302850675505494
92,0.7652468330538046,2.2699987504002186,1.1380667655000898
93,0.7842810771590447,2.4170517041934763,1.1647268711042262
94,0.8138107727132645,2.236938373704042,1.146651920470485
95,0.7814397438092962,2.1072148608658066,1.1045822961507157
96,0.783831881321833,2.2557593168384757,1.1482321568862988
97,0.8108405880142625,2.1977838518679285,1.1422634411212176
98,0.8049081236056285,2.3785331646776626,1.1734421229595555
99,0.8001510478352536,2.4358225211849533,1.1554842979675302
i,r2,mse,mae
